Cluster Label,Job Sector,Keywords Representing the Summary
Cluster 26:,ceo & officials & legislator,"work, application, management, service, knowledge, company, experience, office, team, skill, offer, look, area, task, job, process, well, support, employee, development"
Cluster 9:,drivers & vehicle operators,"work, look, team, knowledge, mfd, application, offer, information, training, service, requirement, additional, company, care, good, applicant, task, patient, forward, employee"
Cluster 5:,drivers & vehicle operators,"good, warehouse, work, look, knowledge, company, forklift, logistics, mfd, employee, experience, team, pick, customer, load, task, application, job, license, order"
Cluster 29:,sales,"office, work, customer, knowledge, look, team, good, company, mfd, application, management, training, task, support, experience, service, offer, employee, process, commercial"
Cluster 0:,drivers & vehicle operators,"work, look, driver, knowledge, license, company, requirement, mfd, team, transport, drive, applicant, information, offer, vehicle, additional, customer, application, good, experience"
Cluster 22:,ceo & officials & legislator,"work, look, clean, team, service, knowledge, food, mfd, employee, hour, good, guest, experience, kitchen, offer, requirement, company, application, cleaning, information"
Cluster 11:,architecture,"construction, work, look, knowledge, mfd, company, team, experience, assembly, requirement, training, offer, task, metal, additional, applicant, information, application, engineering, complete"
Cluster 21:,drivers & vehicle operators,"vehicle, work, repair, car, look, service, team, mfd, knowledge, maintenance, customer, technician, mechatronics, company, requirement, training, information, application, additional, task"
Cluster 17:,marketing,"customer, sale, work, team, look, company, offer, product, good, service, experience, support, knowledge, employee, mfd, training, application, task, area, contact"
Cluster 20:,social work,"care, work, nurse, nursing, look, team, mfd, offer, basic, people, support, training, service, company, patient, job, knowledge, geriatric, application, health"
Cluster 14:,sales,"work, company, team, customer, experience, look, knowledge, application, development, good, management, offer, system, support, employee, process, service, task, training, mfd"
Cluster 7:,finance analysis,"tax, accounting, work, account, knowledge, company, financial, office, look, team, experience, mfd, training, good, professional, task, annual, application, process, support"
Cluster 2:,marketing,"work, customer, company, look, employment, personal, payment, employee, mfd, bonus, agreement, good, collective, task, accord, holiday, opportunity, knowledge, service, christmas"
Cluster 13:,operators & assemblers,"machine, work, look, knowledge, mfd, production, quality, company, management, plant, experience, operation, customer, team, cnc, operator, system, task, requirement, shift"
Cluster 19:,operators & assemblers,"work, system, electrical, technology, company, knowledge, technician, service, look, team, customer, training, maintenance, electronics, mfd, offer, engineering, task, application, installation"
Cluster 6:,drivers & vehicle operators,"work, heat, technology, system, service, company, installation, sanitary, look, maintenance, customer, knowledge, mfd, training, team, repair, plant, air, condition, requirement"
Cluster 12:,ceo & officials & legislator,"work, child, look, team, social, support, care, people, group, mfd, offer, education, pedagogical, development, educator, application, employee, center, training, day"
Cluster 23:,project management,"project, work, control, system, team, service, customer, offer, management, technology, experience, knowledge, task, engineering, look, johnson, well, training, technical, field"
Cluster 27:,sales,"job, service, work, life, bonus, experience, persona, opportunity, training, knowledge, personal, benefit, professional, task, find, program, industry, care, employee, profile"
Cluster 16:,ceo & officials & legislator,"hotel, guest, offer, work, arosa, team, henri, company, look, resort, employee, time, like, want, service, training, experience, free, aja, train"
Cluster 18:,ceo & officials & legislator,"education, teacher, offer, group, educational, institution, various, support, look, team, work, eso, personal, development, course, mfd, school, language, every, personality"
Cluster 24:,marketing,"hair, work, customer, hairdresser, hairdressing, salon, hairstyle, team, professional, experience, employee, mfd, look, advice, training, klier, opportunity, knowledge, application, color"
Cluster 4:,science & engineering technicians,"work, agency, customer, data, knowledge, perzukunft, employment, look, placement, co, kg, gmbh, arbeitsvermittlung, requirement, steglitz, process, basic, berlin, center, currently"
Cluster 28:,science & engineering technicians,"work, agency, employment, look, perzukunft, data, kg, gmbh, co, arbeitsvermittlung, placement, mfd, knowledge, requirement, basic, berlin, customer, currently, job, center"
Cluster 15:,ceo & officials & legislator,"lrrach, clinic, work, training, district, service, patient, hospital, area, good, rheinfelden, look, number, health, employee, schopfheim, range, one, value, freiburg"
Cluster 25:,science & engineering technicians,"look, job, mfd, offer, work, area, senior, physician, profile, specialist, surgery, possible, medicine, find, interest, would, free, individual, course, treat"
Cluster 10:,sales,"personnel, service, personal, area, regional, customer, schwaben, ohg, commercial, well, ownermanaged, onsite, offer, genderindependent, company, placement, lease, industrial, individual, highquality"
Cluster 3:,science & engineering technicians,"medicine, look, job, mfd, offer, german, profile, area, internal, work, possible, month, training, specialist, doctor, assistant, good, care, would, complete"
Cluster 1:,marketing,"work, area, mfd, gps, gender, company, customer, production, employee, procedo, look, skill, qualification, ability, machine, experience, assembly, happy, responsibility, social"
Cluster 8:,science & engineering technicians,"hospital, university, essen, care, application, employee, offer, woman, data, also, equal, service, nurse, opportunity, area, nursing, protection, specialist, child, center"
